OBJECTID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
1,2.403404270190000,Borama,SO1101, , , ,Awdal,SO11,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.403404270193474,0.254701698489325
2,2.871732266040000,Baki,SO1102, , , ,Awdal,SO11,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.871732266036259,0.282351398204003
3,2.334285684950000,Lughaye,SO1103, , , ,Awdal,SO11,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.334285684946631,0.275753027193111
4,3.849709581430000,Zeylac,SO1104, , , ,Awdal,SO11,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.849709581429845,0.499418290469025
5,4.584431945510000,Hargeysa,SO1201, , , ,Woqooyi Galbeed,SO12,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.584431945510861,1.128978633473801
6,5.086770511210000,Berbera,SO1202, , , ,Woqooyi Galbeed,SO12,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.086770511207996,0.846939450394334
7,2.534705020540000,Gebiley,SO1203, , , ,Woqooyi Galbeed,SO12,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.534705020543934,0.352623394553958
8,5.222826943670000,Burco,SO1301, , , ,Togdheer,SO13,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.222826943666513,1.322058132575938
9,2.988573851290000,Buuhoodle,SO1302, , , ,Togdheer,SO13,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.988573851292241,0.557216107125351
10,3.533348703160000,Owdweyne,SO1303, , , ,Togdheer,SO13,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.533348703164831,0.687402479750558
11,2.448604737090000,Sheikh,SO1304, , , ,Togdheer,SO13,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.448604737089761,0.244354818426773
12,4.622055848240000,Laas Caanood,SO1401, , , ,Sool,SO14,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.622055848236179,0.949528972057033
13,3.707369303960000,Caynabo,SO1402, , , ,Sool,SO14,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.707369303962343,0.664366438680989
14,3.329254075120000,Taleex,SO1403, , , ,Sool,SO14,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.329254075115378,0.706606201982955
15,3.603767110940000,Xudun,SO1404, , , ,Sool,SO14,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.603767110941920,0.748925651218806
16,6.360064963210000,Ceerigaabo,SO1501, , , ,Sanaag,SO15,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,6.360064963211071,2.143181352486935
17,4.509308659750000,Ceel Afweyn,SO1502, , , ,Sanaag,SO15,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.509308659749317,1.292830115273034
18,5.168680845200000,Laasqoray,SO1503, , , ,Sanaag,SO15,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.168680845201141,1.005504994107380
19,3.464153184520000,Bossaso,SO1601, , , ,Bari,SO16,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.464153184522458,0.651592638294733
20,4.522880166100000,Bandarbeyla,SO1602, , , ,Bari,SO16,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.522880166098294,0.928959136886604
21,2.845234933870000,Caluula,SO1603, , , ,Bari,SO16,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.845234933867515,0.375527979059551
22,7.287747038640000,Iskushuban,SO1604, , , ,Bari,SO16,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,7.287747038638825,1.515746552401833
23,4.041154282170000,Qandala,SO1605, , , ,Bari,SO16,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.041154282166355,0.612032808867876
24,5.603824588250000,Qardho,SO1606, , , ,Bari,SO16,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.603824588248020,1.534204589728627
25,3.805535625760000,Garoowe,SO1701, , , ,Nugaal,SO17,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.805535625755903,0.705746170177785
26,3.974368540380000,Burtinle,SO1702, , , ,Nugaal,SO17,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.974368540378293,0.792337831372507
27,4.107626819500000,Eyl,SO1703, , , ,Nugaal,SO17,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.107626819500958,0.763652371719806
28,5.890779178900000,Gaalkacyo,SO1801, , , ,Mudug,SO18,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.890779178898163,1.245988196283766
29,1.795005832100000,Galdogob,SO1802, , , ,Mudug,SO18,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,1.795005832100593,0.162618133800115
30,5.634338849700000,Hobyo,SO1803, , , ,Mudug,SO18,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.634338849696763,2.078672610380202
31,3.636983505610000,Jariiban,SO1804, , , ,Mudug,SO18,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.636983505609819,0.894522404355678
32,2.635772068140000,Xarardheere,SO1805, , , ,Mudug,SO18,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.635772068142364,0.417719864885816
33,4.664483470870000,Dhuusamarreeb,SO1901, , , ,Galgaduud,SO19,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.664483470869821,1.036364530584472
34,3.680329026980000,Cabudwaaq,SO1902, , , ,Galgaduud,SO19,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.680329026977438,0.523248904156839
35,3.025346308140000,Cadaado,SO1903, , , ,Galgaduud,SO19,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.025346308140051,0.526900104525904
36,4.221116230490000,Ceel Buur,SO1904, , , ,Galgaduud,SO19,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.221116230485525,1.088591921649718
37,3.796280830030000,Ceel Dheer,SO1905, , , ,Galgaduud,SO19,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.796280830029559,0.844245620045133
38,5.140901643350000,Belet Weyne,SO2001, , , ,Hiraan,SO20,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.140901643347885,1.196899201373013
39,5.284025668790000,Bulo Burto,SO2002, , , ,Hiraan,SO20,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.284025668792120,1.306622303452749
40,2.281273821370000,Jalalaqsi,SO2003, , , ,Hiraan,SO20,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.281273821368107,0.254125422253777
41,2.636639711280000,Jowhar,SO2101, , , ,Middle Shabelle,SO21,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.636639711276179,0.377166173193400
42,2.529696833580000,Adan Yabaal,SO2102, , , ,Middle Shabelle,SO21,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.529696833575391,0.323657412954506
43,2.438615205410000,Balcad,SO2103, , , ,Middle Shabelle,SO21,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.438615205412291,0.343673050604608
44,2.807121252420000,Cadale,SO2104, , , ,Middle Shabelle,SO21,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.807121252423129,0.473624481241900
45,1.068761598870000,Banadir,SO2201, , , ,Banadir,SO22,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,1.068761598866044,0.026611576337978
46,1.794249694950000,Marka,SO2301, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,1.794249694949667,0.083971247573031
47,2.621294847610000,Afgooye,SO2302, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.621294847604959,0.311531785237426
48,2.985216377980000,Baraawe,SO2303, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.985216377979586,0.266813650199310
49,2.078564022030000,Kurtunwaarey,SO2304, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.078564022027223,0.206920578072009
50,2.274555476110000,Qoryooley,SO2305, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.274555476112390,0.261220178328702
51,2.917073405840000,Sablaale,SO2306, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.917073405835773,0.486920757425262
52,2.889107652880000,Wanla Weyn,SO2307, , , ,Lower Shabelle,SO23,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.889115149629971,0.464585049356047
53,4.405956808230000,Baydhaba,SO2401, , , ,Bay,SO24,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.405956808231131,1.050492777468154
54,5.079217341800000,Buur Hakaba,SO2402, , , ,Bay,SO24,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.079217341800106,1.465825057185081
55,3.702588094990000,Diinsoor,SO2403, , , ,Bay,SO24,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.702588094993111,0.790998314031050
56,2.136320190070000,Qansax Dheere,SO2404, , , ,Bay,SO24,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.136320190069534,0.265613299373312
57,3.287061868880000,Xudur,SO2501, , , ,Bakool,SO25,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.287061868876749,0.442423199626131
58,3.654255878980000,Ceel Barde,SO2502, , , ,Bakool,SO25,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.654255878984468,0.624784607056378
59,3.194211316880000,Tayeeglow,SO2503, , , ,Bakool,SO25,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.194211316880087,0.536974555450149
60,1.909978258670000,Waajid,SO2504, , , ,Bakool,SO25,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,1.909978258674920,0.228245692749179
61,2.154229924440000,Rab Dhuure,SO2505, , , ,Bakool,SO25,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.154229924435808,0.268960637470570
62,3.790529746940000,Garbahaarey,SO2601, , , ,Gedo,SO26,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.790529746937487,0.677277498244308
63,5.847931693040000,Baardheere,SO2602, , , ,Gedo,SO26,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.847938505146799,1.241562698864331
64,2.527175681140000,Belet Xaawo,SO2603, , , ,Gedo,SO26,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.527175681142425,0.309652595250334
65,3.099767332990000,Ceel Waaq,SO2604, , , ,Gedo,SO26,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.099767332985580,0.631798133905572
66,1.519344139600000,Doolow,SO2605, , , ,Gedo,SO26,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,1.519344139595311,0.131882489056632
67,3.481257951420000,Luuq,SO2606, , , ,Gedo,SO26,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.481257951422749,0.673111627956532
68,3.079858554170000,Bu'aale,SO2701,Buaale, , ,Middle Juba,SO27,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.079858554174636,0.446109361472615
69,2.551140439230000,Jilib,SO2702, , , ,Middle Juba,SO27,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,2.551140439226405,0.426584850843002
70,3.868998093660000,Saakow,SO2703, , , ,Middle Juba,SO27,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,3.868998093662948,0.654289056528355
71,5.556018362380000,Kismaayo,SO2801, , , ,Lower Juba,SO28,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.556018362382143,0.748679157193093
72,5.871473023430000,Afmadow,SO2802, , , ,Lower Juba,SO28,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,5.871473023425408,2.173960232689920
73,4.658646709410000,Badhaadhe,SO2803, , , ,Lower Juba,SO28,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,4.658646709415217,0.793132649837895
74,1.824106564470000,Jamaame,SO2804, , , ,Lower Juba,SO28,Somalia,SO,12/21/2022 0:00:00,3/8/2023 0:00:00,,1.824106564468114,0.174583745675346
